uid,blink,artist,title
127,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=127&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=281670eaebe9b0460ff82d56b8e9ac23,Odilon Redon,Kalvarienberg
128,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=128&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=78115b0223de02c1c5e9115fd3057d79,Odilon Redon,Der Sturz des Phaëton
107,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=107&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=6e86a3b107a46bc5cba56732731f9124,Paul Signac,"Canal della Giudecca, Morgen (Santa Maria della Salute)"
108,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=108&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=1a0e0b38c8b99f982a3e041bd4d2c653,Henri de Toulouse-Lautrec,François Gauzi
109,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=109&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=32163f762d768645ccf309e0116d8aa1,Henri de Toulouse-Lautrec,Georges-Henri Manuel
110,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=110&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=224b494ac1f6d45a3304f94d28b0f8ac,Henri de Toulouse-Lautrec,Im Bett
111,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=111&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=d9491d906124e683778eea45b4ebab2f,Henri de Toulouse-Lautrec,Confettis
112,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=112&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=24829979b373fa6af8c3acf5e3540bc7,Henri de Toulouse-Lautrec,Zwei Freundinnen
141,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=141&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=dc80bd06e23a99438366cae763fc92e9,Edouard Vuillard,Der Zauberer
142,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=142&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b4a5bf5a02e8af2a30c83fce4c67cb59,Edouard Vuillard,Der Salon Natanson
143,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=143&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=bd5722a52eaa3548f6636ca370ffc6f8,Edouard Vuillard,Die Besucherin
144,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=144&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=134fe16562b793a33f517cf39cd83e95,Edouard Vuillard,Selbstbildnis
t,https://www.buehrle.ch/sammlung/artwork/detail/schiff-in-le-havre/?tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&cHash=5200b274afb225ba51c04f8a8c766bac,Georges Braque,Schiff in Le Havre
27,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=27&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=26646709c0a1ee0b0583cf4bb5f0bbad,Georges Braque,Der Hafen von L'Estaque
