id,x,y
283_Picasso_Fleurs,-6.3226457,3.572103
284_Chavannes_Enfant,2.1962323,8.27576
285_Guys_Promenade_au_bois,-1.0190607,12.113344
286_Boudin_Kerhor_port,-1.8937688,16.847172
287_Cezanne_Usine,-12.239829,7.4154434
288_Rubens_Augustin,3.3214328,8.1996
289_Bonnard_Mamans,-1.3799717,5.3390436
290_Gericault_Bataille,2.547036,8.741951
291_Renoir_Vase,-8.627383,0.90972316
292_Cezanne_Fleurs,-3.9265954,-0.4650653
293_Delacroix_Mort_de_Lara,0.8063601,10.675148
294_Jongkind_Kanal,-1.9130597,15.455585
295_Manet_Hirondelles,-12.3478,8.837761
296_Manet_Noix,-8.040979,1.9322162
297_Piassarro_Route_d_Osny,-12.745509,8.397406
298_Toulouse_Lautrec_Grenelle,-0.90719384,0.91298103
299_Gauguin_Pape_Moe,-0.7025265,7.9340754
300_Gericault_Combat_de_chiens,2.875738,8.302746
301_Chardin_Chevre_et_Bacchus,17.947662,5.242535
302_Chardin_Chevres_et_Satyres,17.657633,4.914277
303_Degas_Pas_battu,-2.7335913,5.6093526
304_Gauguin_Couture,-3.437438,1.8220345
305_Delacroix_Sultan_du_Maroc,3.109351,9.639219
306_Derain_Port,-7.41053,9.314467
307_Delacroix_Barque,2.6267502,10.719781
308_Cezanne_Neige,-7.158739,12.110676
309_Picasso_Gustave_Coquiot,-1.0635177,-3.8548257
310_Daumier_Deux_confreres,3.6773794,11.562189
311_Delacroix_Musiciens,2.1290572,11.171403
312_Maillol_Nu_debout,-2.4517279,3.31986
313_Redon_La_derive,-1.4508618,17.096706
314_Redon_Le_Calvaire,0.45460293,6.088745
315_Cassatt_Sleepy_Thomas,-2.5428083,-0.5275989
316_Heyden_Schloss_Goudestein,-4.1917343,14.328451
317_Hobbema_Landschaft,-0.19844125,13.570185
318_Modigliani_Devraigne,-0.48855218,-3.4219694
319_Picasso_Nature_morte,-6.3287177,5.4936686
320_Redon_La_Chute,3.6038008,7.78417
321_Renoir_Julie_Manet,-0.9405748,2.554582
322_Ruysdael_Auf_der_Mare,-1.6836808,16.378517
323_Ruysdael_Rhenen,-11.106605,10.698901
324_Teniers_II_Dorfkirmes,0.79479986,13.161903
325_Marquet_Plya_sur_Mer,-4.2544622,13.08138
326_Vuillard_Visiteuse,-3.1817868,-0.83441687
327_Vlaminck_Interieur,-5.92118,2.2829077
328_Gauguin_Nature_morte,-5.9722676,0.37203982
329_Cezanne_La_Carriere,-7.431712,9.874444
330_Matisse_Lorette,-1.5128617,1.9581516
331_Picasso_Devant_l_eglise,-0.96092117,9.679062
332_Rouault_Clown,-5.820629,3.1060333
333_Dufy_Regates,-7.5550904,9.999377
334_Witte_Oude_Kerk,0.28471136,12.97398
335_Delacroix_Tete,-3.913123,6.4208875
336_Braque_Fruits,-6.529115,1.6178893
337_Delacroix_Marechal,0.6391451,11.6339
338_Matisse_Liseuse,-2.6031384,1.4439474
339_Kalf_Ziehbrunnen,3.6405098,11.530293
340_Ruysdael_Winterlandschaft,-1.4261168,14.514217
